Country,Animal_Products,Animal_fats,Eggs,Fish_and_Seafood,Fruits,Meat,Milk,Treenuts,Vegetables,Obesity,Confirmed,Deaths,Recovered,Population
Slovenia,26.6163,10.0008,1.1287,0.3693,0.4606,8.5899,6.4155,1.5852,0.2697,22.5,3.783452211,0.073561579,2.731669044,2103000
Solomon Islands,13.6649,3.4726,0.2943,2.5505,0.569,6.5431,0.7553,0.3139,0.0785,20.5,0.002377622,0,0.000699301,715000
South Africa,19.7743,0.8542,1.0982,0.2379,0.0854,14.1489,3.1056,0.0915,0.1647,27,1.33573489,0.036407393,1.231476823,59628000
Spain,19.5253,2.4641,1.2521,1.0814,0.375,9.2772,5.3601,1.3626,0.2611,27.1,3.49695602,0.096114202,0.315683846,47635000
Sri Lanka,10.1348,0.3195,1.1682,2.2766,0.5791,2.027,4.2336,0.4194,0.2396,5.4,0.1158317,0.000565255,0.083438939,21937000
Sudan,20.1511,1.7092,0.2347,0.0587,0.3961,7.0789,10.8055,0,0.3521,7.4,0.041629228,0.0028849,0.02392985,43849000
Suriname,14.8751,0.7849,0.9601,0.772,0.2335,10.639,1.6867,0.1557,0.2789,26.5,0.879338843,0.019338843,0.859504132,605000
Sweden,28.4111,9.7148,1.3741,0.8778,0.3556,8.8481,7.5926,0.9704,0.2296,22.1,2.564883878,0.067187048,0,10377000
Switzerland,28.1054,6.2293,0.93,0.4048,0.3379,12.0906,8.3804,1.9772,0.2141,21.2,3.887653463,0.058431781,2.983553394,8634000
Taiwan*,19.3217,2.6952,1.4818,0.4667,0.2956,13.2817,1.3223,0.6145,0.3111,,0.002901313,2.96E-05,0.002414231,23610000
Tajikistan,12.6827,0.0348,0.5741,0.0174,0.3566,7.159,4.6799,0.4175,0.9395,12.6,0.130119843,0.000922685,0.123841341,9429000
Thailand,19.5718,1.666,2.8961,1.7984,0.506,11.6621,1.4636,0.2647,0.2102,10.8,0.006051042,9.02E-05,0.005744431,66534000
Timor-Leste,17.8988,2.0345,0.2446,0.7893,1.3007,14.5525,0.1779,0.0111,0.1668,2.9,0.002352049,0,0.002276176,1318000
Togo,5.3063,0.5351,0.1962,0.5708,0.0624,3.3889,0.544,0,0.1516,7.1,0.036405363,0.000785119,0.03071627,8279000
Trinidad and Tobago,23.3455,5.3472,0.6185,0.7816,0.3205,11.386,5.1279,0.596,0.1799,19.7,0.489700511,0.008838568,0.426807889,1369000
Tunisia,12.7886,2.6543,0.9255,0.5085,0.4068,4.0323,4.5764,2.3289,0.7627,27.3,0.834566241,0.028236382,0.618754203,11896000
Turkey,13.6766,2.9392,0.825,0.1428,0.3292,3.8475,5.8586,2.8162,0.6703,32.2,0.837001564,0.016873067,0.494573486,83737000
Turkmenistan,32.6886,6.4856,1.106,0.1274,0.3069,17.4764,7.4411,0.1969,0.4459,17.5,,,,6031000
Uganda,12.3139,0.9627,0.2239,0.862,0.7164,6.101,4.0188,0,0.1567,4.1,0.046804836,0.000450362,0.019772196,45741000
Ukraine,26.91,5.494,2.4481,0.516,0.3084,9.635,8.691,0.7867,0.5223,26.1,1.863564556,0.03145196,0.921444301,41778000
United Arab Emirates,21.4437,4.0036,1.1407,0.8108,0.6766,9.461,5.86,3.8246,0.4306,29.9,1.753262426,0.005931683,1.599304561,9778000
United Kingdom,25.8633,4.2615,1.0778,0.5176,0.4219,12.5789,7.353,0.702,0.2127,29.5,2.47687165,0.08903514,0.005363311,67160000
United Republic of Tanzania,7.5907,1.5442,0.0744,0.4558,0.2698,3.014,2.5023,0.3628,0.2419,7.1,0.000852111,3.52E-05,0.000306358,59734000
United States of America,21.2045,3.3013,1.25,0.3887,0.4426,9.4166,6.8359,0.942,0.1944,37.3,4.220158362,0.08289307,1.613362516,329878000
Uruguay,25.5069,3.4811,1.2804,0.3281,0.1777,12.2841,8.0603,0.1367,0.2096,28.9,0.176295667,0.002265647,0.12982158,3531000
Uzbekistan,25.9903,2.4884,1.0639,0.0962,0.583,10.3624,11.805,0.7754,0.8535,15.3,0.214592965,0.001787909,0.206396676,34174000
Vanuatu,14.9179,1.9531,0.3509,1.4343,0.3052,9.9334,1.1495,0.0356,0.1424,23.5,0.000311526,0,0,321000
Venezuela (Bolivarian Republic of),16.3261,2.2673,0.6555,0.5707,0.964,7.0949,5.5217,0.0154,0.1851,25.2,0.359807994,0.003159365,0.342223774,28645000
Vietnam,33.2484,3.8238,0.7839,1.1217,0.4079,26.4292,0.752,1.1726,0.6373,2.1,0.00141151,3.64E-05,0.001248324,96209000
Yemen,12.5401,2.0131,0.5514,0.3847,0.2564,8.001,1.3463,0.0769,0.1667,14.1,0.007433112,0.002082076,0.005089519,29826000
Zambia,9.6005,1.6113,0.6266,1.007,0.1343,4.901,1.2756,0.0112,0.1567,6.5,0.096279373,0.001941906,0.092939513,18384000
Zimbabwe,10.3796,2.9543,0.3682,0.2455,0.0614,4.5674,2.104,0.4296,0.0789,12.3,0.068149095,0.001863688,0.058151114,14863000
